"gene_id","SYMBOL","GENENAME","GeneType"
"7704","ZBTB16","zinc finger and BTB domain containing 16","protein-coding"
"101928875","LOC101928875","",""
"4837","NNMT","nicotinamide N-methyltransferase","protein-coding"
"101928940","LOC101928940","uncharacterized LOC101928940","ncRNA"
"107984391","LOC107984391","uncharacterized LOC107984391","ncRNA"
"54494","C11orf71","chromosome 11 open reading frame 71","protein-coding"
"10179","RBM7","RNA binding motif protein 7","protein-coding"
"25996","REXO2","RNA exonuclease 2","protein-coding"
"120406","NXPE2","neurexophilin and PC-esterase domain family member 2","protein-coding"
"120400","NXPE1","neurexophilin and PC-esterase domain family member 1","protein-coding"
"54827","NXPE4","neurexophilin and PC-esterase domain family member 4","protein-coding"
"105369504","LOC105369504","replaced by ID 54827",""
"105369506","LOC105369506","uncharacterized LOC105369506","ncRNA"
"105369505","LOC105369505","",""
"23705","CADM1","cell adhesion molecule 1","protein-coding"
"105369509","LOC105369509","uncharacterized LOC105369509","ncRNA"
"105369507","CADM1-AS1","CADM1 antisense RNA 1","ncRNA"
"105369511","LOC105369511","uncharacterized LOC105369511","ncRNA"
"105369512","LINC02698","long intergenic non-protein coding RNA 2698","ncRNA"
"101928985","LOC101928985","uncharacterized LOC101928985","ncRNA"
"283143","LINC00900","long intergenic non-protein coding RNA 900","ncRNA"
"107987165","LOC107987165","uncharacterized LOC107987165","ncRNA"
"102724165","LINC02703","long intergenic non-protein coding RNA 2703","ncRNA"
"112268082","LOC112268082","",""
"105369513","LOC105369513","uncharacterized LOC105369513","ncRNA"
"107984393","LOC107984393","uncharacterized LOC107984393","ncRNA"
"107987166","LOC107987166","uncharacterized LOC107987166","ncRNA"
"107984372","LOC107984372","uncharacterized LOC107984372","ncRNA"
"101929011","LINC02702","long intergenic non-protein coding RNA 2702","ncRNA"
"84811","BUD13","BUD13 homolog","protein-coding"
"8882","ZPR1","ZPR1 zinc finger","protein-coding"
"116519","APOA5","apolipoprotein A5","protein-coding"
"337","APOA4","apolipoprotein A4","protein-coding"
"345","APOC3","apolipoprotein C3","protein-coding"
"335","APOA1","apolipoprotein A1","protein-coding"
"104326055","APOA1-AS","APOA1 antisense RNA","ncRNA"
"23387","SIK3","SIK family kinase 3","protein-coding"
"5049","PAFAH1B2","platelet activating factor acetylhydrolase 1b catalytic subunit 2","protein-coding"
"51092","SIDT2","SID1 transmembrane family member 2","protein-coding"
"100652768","LOC100652768","uncharacterized LOC100652768","ncRNA"
"6876","TAGLN","transgelin","protein-coding"
"9159","PCSK7","proprotein convertase subtilisin/kexin type 7","protein-coding"
"257160","RNF214","ring finger protein 214","protein-coding"
"23621","BACE1","beta-secretase 1","protein-coding"
"100379571","BACE1-AS","BACE1 antisense RNA","ncRNA"
"22897","CEP164","centrosomal protein 164","protein-coding"
"57453","DSCAML1","DS cell adhesion molecule like 1","protein-coding"
"105369515","LOC105369515","uncharacterized LOC105369515","ncRNA"
"107984394","LOC107984394","",""
"486","FXYD2","FXYD domain containing ion transport regulator 2","protein-coding"
"100533181","FXYD6-FXYD2","FXYD6-FXYD2 readthrough","protein-coding"
"53826","FXYD6","FXYD domain containing ion transport regulator 6","protein-coding"
"84000","TMPRSS13","transmembrane serine protease 13","protein-coding"
"3587","IL10RA","interleukin 10 receptor subunit alpha","protein-coding"
"100526771","SMIM35","small integral membrane protein 35","protein-coding"
"56649","TMPRSS4","transmembrane serine protease 4","protein-coding"
"105369517","LOC105369517","uncharacterized LOC105369517","ncRNA"
"6330","SCN4B","sodium voltage-gated channel beta subunit 4","protein-coding"
"6327","SCN2B","sodium voltage-gated channel beta subunit 2","protein-coding"
"120425","JAML","junction adhesion molecule like","protein-coding"
"196264","MPZL3","myelin protein zero like 3","protein-coding"
"10205","MPZL2","myelin protein zero like 2","protein-coding"
"916","CD3E","CD3 epsilon subunit of T-cell receptor complex","protein-coding"
"915","CD3D","CD3 delta subunit of T-cell receptor complex","protein-coding"
"917","CD3G","CD3 gamma subunit of T-cell receptor complex","protein-coding"
"9354","UBE4A","ubiquitination factor E4A","protein-coding"
"100131626","LOC100131626","uncharacterized LOC100131626","ncRNA"
"10632","ATP5MG","ATP synthase membrane subunit g","protein-coding"
"4297","KMT2A","lysine methyltransferase 2A","protein-coding"
"101929089","TTC36-AS1","TTC36 and KMT2A antisense RNA 1","ncRNA"
"143941","TTC36","tetratricopeptide repeat domain 36","protein-coding"
"84866","TMEM25","transmembrane protein 25","protein-coding"
"56912","IFT46","intraflagellar transport 46","protein-coding"
"372","ARCN1","archain 1","protein-coding"
"23187","PHLDB1","pleckstrin homology like domain family B member 1","protein-coding"
"102466719","MIR6716","microRNA 6716","ncRNA"
"11181","TREH","trehalase","protein-coding"
"105369519","LOC105369519","uncharacterized LOC105369519","ncRNA"
"1656","DDX6","DEAD-box helicase 6","protein-coding"
"643","CXCR5","C-X-C motif chemokine receptor 5","protein-coding"
"283149","BCL9L","BCL9 like","protein-coding"
"100616376","MIR4492","microRNA 4492","ncRNA"
"7379","UPK2","uroplakin 2","protein-coding"
"283150","FOXR1","forkhead box R1","protein-coding"
"107984396","CENATAC-DT","CENATAC divergent transcript","ncRNA"
"338657","CENATAC","centrosomal AT-AC splicing factor","protein-coding"
"649946","RPL23AP64","ribosomal protein L23a pseudogene 64","pseudo"
"6230","RPS25","ribosomal protein S25","protein-coding"
"51399","TRAPPC4","trafficking protein particle complex subunit 4","protein-coding"
"2542","SLC37A4","solute carrier family 37 member 4","protein-coding"
"10525","HYOU1","hypoxia up-regulated 1","protein-coding"
"55823","VPS11","VPS11 core subunit of CORVET and HOPS complexes","protein-coding"
"3145","HMBS","hydroxymethylbilane synthase","protein-coding"
"3014","H2AX","H2A.X variant histone","protein-coding"
"1798","DPAGT1","dolichyl-phosphate N-acetylglucosaminephosphotransferase 1","protein-coding"
"107984397","LOC107984397","replaced by ID 9854",""
"9854","C2CD2L","C2CD2 like","protein-coding"
"25988","HINFP","histone H4 transcription factor","protein-coding"
"64137","ABCG4","ATP binding cassette subfamily G member 4","protein-coding"
"79671","NLRX1","NLR family member X1","protein-coding"
"79849","NHERF4","NHERF family PDZ scaffold protein 4","protein-coding"
"283152","CCDC153","coiled-coil domain containing 153","protein-coding"
"109623467","SNORD150","small nucleolar RNA, C/D box 150","snoRNA"
"867","CBL","Cbl proto-oncogene","protein-coding"
"4162","MCAM","melanoma cell adhesion molecule","protein-coding"
"102465453","MIR6756","microRNA 6756","ncRNA"
"79102","RNF26","ring finger protein 26","protein-coding"
"114902","C1QTNF5","C1q and TNF related 5","protein-coding"
"83552","MFRP","membrane frizzled-related protein","protein-coding"
"9099","USP2","ubiquitin specific peptidase 2","protein-coding"
"100499227","USP2-AS1","USP2 antisense RNA 1","ncRNA"
"7070","THY1","Thy-1 cell surface antigen","protein-coding"
"107984398","LOC107984398","uncharacterized LOC107984398","ncRNA"
"105369520","LOC105369520","uncharacterized LOC105369520","ncRNA"
"5818","NECTIN1","nectin cell adhesion molecule 1","protein-coding"
"105369525","NECTIN1-AS1","NECTIN1 antisense RNA 1","ncRNA"
"102724301","NECTIN1-DT","NECTIN1 divergent transcript","ncRNA"
"105369526","LOC105369526","uncharacterized LOC105369526","ncRNA"
"105369528","LINC02744","long intergenic non-protein coding RNA 2744","ncRNA"
"105369527","LOC105369527","uncharacterized LOC105369527","ncRNA"
"105378956","LOC105378956","uncharacterized LOC105378956","ncRNA"
"23650","TRIM29","tripartite motif containing 29","protein-coding"
"105369529","LOC105369529","uncharacterized LOC105369529","ncRNA"
"107984399","LOC107984399","uncharacterized LOC107984399","ncRNA"
"105369530","LOC105369530","uncharacterized LOC105369530","ncRNA"
"220323","OAF","out at first homolog","protein-coding"
"25833","POU2F3","POU class 2 homeobox 3","protein-coding"
"649133","LOC649133","uncharacterized LOC649133","ncRNA"
"105369531","LOC105369531","uncharacterized LOC105369531","ncRNA"
"219902","TLCD5","TLC domain containing 5","protein-coding"
"23365","ARHGEF12","Rho guanine nucleotide exchange factor 12","protein-coding"
"2900","GRIK4","glutamate ionotropic receptor kainate type subunit 4","protein-coding"
"107984400","LOC107984400","uncharacterized LOC107984400","ncRNA"
"105369532","LOC105369532","uncharacterized LOC105369532","ncRNA"
"101929227","LOC101929227","uncharacterized LOC101929227","ncRNA"
"101929208","LOC101929208","uncharacterized LOC101929208","ncRNA"
"219899","TBCEL","tubulin folding cofactor E like","protein-coding"
"7007","TECTA","tectorin alpha","protein-coding"
"105369533","LOC105369533","uncharacterized LOC105369533","ncRNA"
"105369534","LOC105369534","uncharacterized LOC105369534","ncRNA"
"6309","SC5D","sterol-C5-desaturase","protein-coding"
"105369536","SORL1-AS1","SORL1 antisense RNA 1","ncRNA"
"6653","SORL1","sortilin related receptor 1","protein-coding"
"105369535","LOC105369535","uncharacterized LOC105369535","ncRNA"
"107984402","LOC107984402","uncharacterized LOC107984402","ncRNA"
"399959","MIR100HG","mir-100-let-7a-2-mir-125b-1 cluster host gene","ncRNA"
"406911","MIR125B1","microRNA 125b-1","ncRNA"
"414899","BLID","BH3-like motif containing, cell death inducer","protein-coding"
"406882","MIRLET7A2","microRNA let-7a-2","ncRNA"
"113218492","MIR10526","microRNA 10526","ncRNA"
"406892","MIR100","microRNA 100","ncRNA"
"100189294","TRK-TTT2-1","tRNA-Lys (anticodon TTT) 2-1","tRNA"
"84959","UBASH3B","ubiquitin associated and SH3 domain containing B","protein-coding"
"56253","CRTAM","cytotoxic and regulatory T cell molecule","protein-coding"
"79864","JHY","junctional cadherin complex regulator","protein-coding"
"390259","BSX","brain specific homeobox","protein-coding"
"341056","LOC341056","SUMO1 activating enzyme subunit 1 pseudogene","pseudo"
"3312","HSPA8","heat shock protein family A (Hsp70) member 8","protein-coding"
"85391","SNORD14E","small nucleolar RNA, C/D box 14E","snoRNA"
"85390","SNORD14D","small nucleolar RNA, C/D box 14D","snoRNA"
"85389","SNORD14C","small nucleolar RNA, C/D box 14C","snoRNA"
"101929289","LOC101929289","",""
"79827","CLMP","CXADR like membrane protein","protein-coding"
"105369540","LOC105369540","uncharacterized LOC105369540","ncRNA"
"105369539","LOC105369539","uncharacterized LOC105369539","ncRNA"
"105369541","LINC02727","long intergenic non-protein coding RNA 2727","ncRNA"
"57476","GRAMD1B","GRAM domain containing 1B","protein-coding"
"100616319","MIR4493","microRNA 4493","ncRNA"
"55800","SCN3B","sodium voltage-gated channel beta subunit 3","protein-coding"
"105369543","LOC105369543","uncharacterized LOC105369543","ncRNA"
"7753","ZNF202","zinc finger protein 202","protein-coding"
"390260","OR6X1","olfactory receptor family 6 subfamily X member 1","protein-coding"
"105369544","LOC105369544","uncharacterized LOC105369544","ncRNA"
"390261","OR6M1","olfactory receptor family 6 subfamily M member 1","protein-coding"
"338661","TMEM225","transmembrane protein 225","protein-coding"
"338662","OR8D4","olfactory receptor family 8 subfamily D member 4","protein-coding"
"219875","OR4D5","olfactory receptor family 4 subfamily D member 5","protein-coding"
"219874","OR6T1","olfactory receptor family 6 subfamily T member 1","protein-coding"
"219873","OR10S1","olfactory receptor family 10 subfamily S member 1","protein-coding"
"79490","OR10G6","olfactory receptor family 10 subfamily G member 6","protein-coding"
"390264","OR10G4","olfactory receptor family 10 subfamily G member 4","protein-coding"
"219870","OR10G9","olfactory receptor family 10 subfamily G member 9","protein-coding"
"219869","OR10G8","olfactory receptor family 10 subfamily G member 8","protein-coding"
"390265","OR10G7","olfactory receptor family 10 subfamily G member 7","protein-coding"
"107984403","LOC107984403","",""
"105369545","LOC105369545","uncharacterized LOC105369545","ncRNA"
"4013","VWA5A","von Willebrand factor A domain containing 5A","protein-coding"
"26497","OR10D3","olfactory receptor family 10 subfamily D member 3","protein-coding"
"102724410","LOC102724410","uncharacterized LOC102724410","ncRNA"
"26492","OR8G2P","olfactory receptor family 8 subfamily G member 2 pseudogene","pseudo"
"112267863","LOC112267863","replaced by ID 219865",""
"26494","OR8G1","olfactory receptor family 8 subfamily G member 1","protein-coding"
"219865","OR8G5","olfactory receptor family 8 subfamily G member 5","protein-coding"
"283159","OR8D1","olfactory receptor family 8 subfamily D member 1","protein-coding"
"112268069","LOC112268069","uncharacterized LOC112268069","ncRNA"
"283160","OR8D2","olfactory receptor family 8 subfamily D member 2","protein-coding"
"26595","OR8B2","olfactory receptor family 8 subfamily B member 2","protein-coding"
"390271","OR8B3","olfactory receptor family 8 subfamily B member 3","protein-coding"
"107984404","LOC107984404","uncharacterized LOC107984404","ncRNA"
"283162","OR8B4","olfactory receptor family 8 subfamily B member 4","protein-coding"
"26493","OR8B8","olfactory receptor family 8 subfamily B member 8","protein-coding"
"219858","OR8B12","olfactory receptor family 8 subfamily B member 12","protein-coding"
"390275","OR8A1","olfactory receptor family 8 subfamily A member 1","protein-coding"
"116337","PANX3","pannexin 3","protein-coding"
"84897","TBRG1","transforming growth factor beta regulator 1","protein-coding"
"54414","SIAE","sialic acid acetylesterase","protein-coding"
"53340","SPA17","sperm autoantigenic protein 17","protein-coding"
"107984405","LOC107984405","uncharacterized LOC107984405","ncRNA"
"4900","NRGN","neurogranin","protein-coding"
"23584","VSIG2","V-set and immunoglobulin domain containing 2","protein-coding"
"90952","ESAM","endothelial cell adhesion molecule","protein-coding"
"101929340","ESAM-AS1","ESAM antisense RNA 1","ncRNA"
"79684","MSANTD2","Myb/SANT DNA binding domain containing 2","protein-coding"
"100507283","MSANTD2-AS1","MSANTD2 antisense RNA 1","ncRNA"
"64221","ROBO3","roundabout guidance receptor 3","protein-coding"
"54538","ROBO4","roundabout guidance receptor 4","protein-coding"
"107984406","LOC107984406","uncharacterized LOC107984406","ncRNA"
"220296","HEPACAM","hepatic and glial cell adhesion molecule","protein-coding"
"641654","HEPN1","hepatocellular carcinoma, down-regulated 1","protein-coding"
"105369547","CCDC15-DT","CCDC15 divergent transcript","ncRNA"
"80071","CCDC15","coiled-coil domain containing 15","protein-coding"
"219855","SLC37A2","solute carrier family 37 member 2","protein-coding"
"219854","TMEM218","transmembrane protein 218","protein-coding"
"103695364","PKNOX2-DT","PKNOX2 divergent transcript","ncRNA"
"63876","PKNOX2","PBX/knotted 1 homeobox 2","protein-coding"
"105369549","LOC105369549","uncharacterized LOC105369549","ncRNA"
"9638","FEZ1","fasciculation and elongation protein zeta 1","protein-coding"
"403312","LOC403312","putative uncharacterized protein MGC39545","ncRNA"
"105369550","STT3A-AS1","STT3A antisense RNA 1","ncRNA"
"9538","EI24","EI24 autophagy associated transmembrane protein","protein-coding"
"3703","STT3A","STT3 oligosaccharyltransferase complex catalytic subunit A","protein-coding"
"1111","CHEK1","checkpoint kinase 1","protein-coding"
"56","ACRV1","acrosomal vesicle protein 1","protein-coding"
"105369551","LOC105369551","uncharacterized LOC105369551","ncRNA"
"160065","PATE1","prostate and testis expressed 1","protein-coding"
"399967","PATE2","prostate and testis expressed 2","protein-coding"
"100169851","PATE3","prostate and testis expressed 3","protein-coding"
"105369552","LOC105369552","",""
"399968","PATE4","prostate and testis expressed 4","protein-coding"
"219844","HYLS1","HYLS1 centriolar and ciliogenesis associated","protein-coding"
"83480","PUS3","pseudouridine synthase 3","protein-coding"
"29118","DDX25","DEAD-box helicase 25","protein-coding"
"338667","VSIG10L2","V-set and immunoglobulin domain containing 10 like 2","protein-coding"
"50937","CDON","cell adhesion associated, oncogene regulated","protein-coding"
"107984407","LOC107984407","uncharacterized LOC107984407","ncRNA"
"105369591","LOC105369591","uncharacterized LOC105369591","protein-coding"
"84881","RPUSD4","RNA pseudouridine synthase D4","protein-coding"
"79607","FAM118B","family with sequence similarity 118 member B","protein-coding"
"6734","SRPRA","SRP receptor subunit alpha","protein-coding"
"55572","FOXRED1","FAD dependent oxidoreductase domain containing 1","protein-coding"
"114609","TIRAP","TIR domain containing adaptor protein","protein-coding"
"105369557","TIRAP-AS1","TIRAP antisense RNA 1","ncRNA"
"28960","DCPS","decapping enzyme, scavenger","protein-coding"
"399972","GSEC","G-quadruplex forming sequence containing lncRNA","ncRNA"
"6484","ST3GAL4","ST3 beta-galactoside alpha-2,3-sialyltransferase 4","protein-coding"
"84623","KIRREL3","kirre like nephrin family adhesion molecule 3","protein-coding"
"101929427","LOC101929427","uncharacterized LOC101929427","ncRNA"
"105369561","LOC105369561","uncharacterized LOC105369561","ncRNA"
"105369559","LOC105369559","uncharacterized LOC105369559","ncRNA"
"100874251","KIRREL3-AS2","KIRREL3 antisense RNA 2","ncRNA"
"100422918","MIR3167","microRNA 3167","ncRNA"
"105369558","LOC105369558","uncharacterized LOC105369558","ncRNA"
"283165","KIRREL3-AS3","KIRREL3 antisense RNA 3","ncRNA"
"101929473","LOC101929473","uncharacterized LOC101929473","ncRNA"
"105369562","LOC105369562","uncharacterized LOC105369562","ncRNA"
"107984379","LOC107984379","uncharacterized LOC107984379","ncRNA"
"101929497","LINC02712","long intergenic non-protein coding RNA 2712","ncRNA"
"107984373","LOC107984373","uncharacterized LOC107984373","ncRNA"
"107984374","LOC107984374","uncharacterized LOC107984374","ncRNA"
"105369563","LINC02725","long intergenic non-protein coding RNA 2725","ncRNA"
"105369564","LINC02098","long intergenic non-protein coding RNA 2098","ncRNA"
"107984408","LOC107984408","",""
"2113","ETS1","ETS proto-oncogene 1, transcription factor","protein-coding"
"102466104","MIR6090","microRNA 6090","ncRNA"
"101929517","ETS1-AS1","ETS1 antisense RNA 1","ncRNA"
"105369565","LOC105369565","uncharacterized LOC105369565","ncRNA"
"105369568","LOC105369568","uncharacterized LOC105369568","ncRNA"
"101929538","LOC101929538","uncharacterized LOC101929538","ncRNA"
"2313","FLI1","Fli-1 proto-oncogene, ETS transcription factor","protein-coding"
"100507392","SENCR","smooth muscle and endothelial cell enriched migration/differentiation-associated lncRNA","ncRNA"
"3758","KCNJ1","potassium inwardly rectifying channel subfamily J member 1","protein-coding"
"107984409","LOC107984409","uncharacterized LOC107984409","ncRNA"
"3762","KCNJ5","potassium inwardly rectifying channel subfamily J member 5","protein-coding"
"219833","KCNJ5-AS1","KCNJ5 antisense RNA 1","ncRNA"
"63970","TP53AIP1","tumor protein p53 regulated apoptosis inducing protein 1","protein-coding"
"9743","ARHGAP32","Rho GTPase activating protein 32","protein-coding"
"399975","LOC399975","uncharacterized LOC399975","ncRNA"
"105369571","LOC105369571","uncharacterized LOC105369571","ncRNA"
"105369572","LOC105369572","uncharacterized LOC105369572","ncRNA"
"8538","BARX2","BARX homeobox 2","protein-coding"
"107984410","LOC107984410","",""
"101929557","LINC01395","long intergenic non-protein coding RNA 1395","ncRNA"
"120224","TMEM45B","transmembrane protein 45B","protein-coding"
"4798","NFRKB","nuclear factor related to kappaB binding protein","protein-coding"
"56980","PRDM10","PR/SET domain 10","protein-coding"
"440072","PRDM10-DT","PRDM10 divergent transcript","ncRNA"
"107984432","LOC107984432","uncharacterized LOC107984432","ncRNA"
"334","APLP2","amyloid beta precursor like protein 2","protein-coding"
"6768","ST14","ST14 transmembrane serine protease matriptase","protein-coding"
"29068","ZBTB44","zinc finger and BTB domain containing 44","protein-coding"
"646383","ZBTB44-DT","ZBTB44 divergent transcript","ncRNA"
"11095","ADAMTS8","ADAM metallopeptidase with thrombospondin type 1 motif 8","protein-coding"
"170689","ADAMTS15","ADAM metallopeptidase with thrombospondin type 1 motif 15","protein-coding"
"105369574","LOC105369574","uncharacterized LOC105369574","ncRNA"
"102466873","MIR8052","microRNA 8052","ncRNA"
"283171","LINC02873","long intergenic non-protein coding RNA 2873","ncRNA"
"105369575","LOC105369575","uncharacterized LOC105369575","ncRNA"
"105369576","LOC105369576","uncharacterized LOC105369576","ncRNA"
"100507431","LINC02551","long intergenic non-protein coding RNA 2551","ncRNA"
"103611081","LOC103611081","replaced by ID 399979",""
"399979","SNX19","sorting nexin 19","protein-coding"
"105369577","LOC105369577","uncharacterized LOC105369577","ncRNA"
"107984411","LOC107984411","uncharacterized LOC107984411","ncRNA"
"105369579","LOC105369579","uncharacterized LOC105369579","ncRNA"
"105369578","LOC105369578","uncharacterized LOC105369578","ncRNA"
"107984412","LOC107984412","uncharacterized LOC107984412","ncRNA"
"50863","NTM","neurotrimin","protein-coding"
"101929653","LOC101929653","uncharacterized LOC101929653","ncRNA"
"101929637","NTM-AS1","NTM antisense RNA 1","ncRNA"
"107984413","LOC107984413","uncharacterized LOC107984413","ncRNA"
"100874281","NTM-IT","NTM intronic transcript","ncRNA"
"4978","OPCML","opioid binding protein/cell adhesion molecule like","protein-coding"
"105369580","LOC105369580","uncharacterized LOC105369580","ncRNA"
"646522","LINC02743","long intergenic non-protein coding RNA 2743","ncRNA"
"219938","SPATA19","spermatogenesis associated 19","protein-coding"
"283174","MIR4697HG","replaced by ID 22997",""
"100616119","MIR4697","microRNA 4697","ncRNA"
"22997","IGSF9B","immunoglobulin superfamily member 9B","protein-coding"
"107984414","LINC02730","long intergenic non-protein coding RNA 2730","ncRNA"
"100128239","LINC02731","long intergenic non-protein coding RNA 2731","ncRNA"
"83700","JAM3","junctional adhesion molecule 3","protein-coding"
"107984040","LOC107984040","",""
"23310","NCAPD3","non-SMC condensin II complex subunit D3","protein-coding"
"109623486","SNORD153","small nucleolar RNA, C/D box 153","snoRNA"
"112936","VPS26B","VPS26 retromer complex component B","protein-coding"
"29087","THYN1","thymocyte nuclear protein 1","protein-coding"
"27034","ACAD8","acyl-CoA dehydrogenase family member 8","protein-coding"
"112937","GLB1L3","galactosidase beta 1 like 3","protein-coding"
"89944","GLB1L2","galactosidase beta 1 like 2","protein-coding"
"27087","B3GAT1","beta-1,3-glucuronyltransferase 1","protein-coding"
"283177","B3GAT1-DT","B3GAT1 divergent transcript","ncRNA"
"105369583","LOC105369583","uncharacterized LOC105369583","ncRNA"
"105369584","LINC02706","long intergenic non-protein coding RNA 2706","ncRNA"
"729305","LINC02714","long intergenic non-protein coding RNA 2714","ncRNA"
"105369586","LINC02697","long intergenic non-protein coding RNA 2697","ncRNA"
"100507548","LOC100507548","uncharacterized LOC100507548","ncRNA"
"105369588","LINC02717","long intergenic non-protein coding RNA 2717","ncRNA"
"105369587","LOC105369587","uncharacterized LOC105369587","ncRNA"
"105369589","LINC02684","long intergenic non-protein coding RNA 2684","ncRNA"
"107987373","LOC107987373","replaced by ID 6150",""
"107987374","LOC107987374","replaced by ID 100133545",""
"107987375","LOC107987375","replaced by ID 104355220",""
"112267876","LOC112267876","",""
"102724852","LOC102724852","replaced by ID 100033819",""
"100288778","WASH8P","WAS protein family homolog 8, pseudogene","pseudo"
"107987170","LOC107987170","uncharacterized LOC107987170","ncRNA"
"677784","FAM138D","family with sequence similarity 138 member D","ncRNA"
"440073","IQSEC3","IQ motif and Sec7 domain ArfGEF 3","protein-coding"
"105369593","LOC105369593","uncharacterized LOC105369593","ncRNA"
"574538","LOC574538","uncharacterized LOC574538","ncRNA"
"105369592","IQSEC3-AS1","IQSEC3 antisense RNA 1","ncRNA"
"6539","SLC6A12","solute carrier family 6 member 12","protein-coding"
"101929384","SLC6A12-AS1","SLC6A12 antisense RNA 1","ncRNA"
"6540","SLC6A13","solute carrier family 6 member 13","protein-coding"
"102723544","LOC102723544","uncharacterized LOC102723544","ncRNA"
"5927","KDM5A","lysine demethylase 5A","protein-coding"
"84318","CCDC77","coiled-coil domain containing 77","protein-coding"
"105369594","LOC105369594","uncharacterized LOC105369594","ncRNA"
"283358","B4GALNT3","beta-1,4-N-acetyl-galactosaminyltransferase 3","protein-coding"
"4815","NINJ2","ninjurin 2","protein-coding"
"105369595","LOC105369595","uncharacterized LOC105369595","ncRNA"
"100049716","NINJ2-AS1","NINJ2 antisense RNA 1","ncRNA"
"105369597","LINC02455","long intergenic non-protein coding RNA 2455","ncRNA"
"101929432","LOC101929432","uncharacterized LOC101929432","ncRNA"
"65125","WNK1","WNK lysine deficient protein kinase 1","protein-coding"
"5893","RAD52","RAD52 homolog, DNA repair protein","protein-coding"
"23085","ERC1","ELKS/RAB6-interacting/CAST family member 1","protein-coding"
"107987182","LOC107987182","uncharacterized LOC107987182","ncRNA"
"100292680","LINC00942","long intergenic non-protein coding RNA 942","ncRNA"
"107984507","LOC107984507","uncharacterized LOC107984507","ncRNA"
"81029","WNT5B","Wnt family member 5B","protein-coding"
"144699","FBXL14","F-box and leucine rich repeat protein 14","protein-coding"
"100500816","MIR3649","microRNA 3649","ncRNA"
"79602","ADIPOR2","adiponectin receptor 2","protein-coding"
"93589","CACNA2D4","calcium voltage-gated channel auxiliary subunit alpha2delta 4","protein-coding"
"105369602","LOC105369602","uncharacterized LOC105369602","ncRNA"
"105369601","LOC105369601","uncharacterized LOC105369601","ncRNA"
"654429","LRTM2","leucine rich repeats and transmembrane domains 2","protein-coding"
"112268103","LOC112268103","",""
"100271702","LINC00940","long intergenic non-protein coding RNA 940","ncRNA"
"196513","DCP1B","decapping mRNA 1B","protein-coding"
"775","CACNA1C","calcium voltage-gated channel subunit alpha1 C","protein-coding"
"107984540","CACNA1C-IT1","CACNA1C intronic transcript 1","ncRNA"
"100874369","CACNA1C-IT2","CACNA1C intronic transcript 2","ncRNA"
"107984131","LOC107984131","uncharacterized LOC107984131","ncRNA"
"100874234","CACNA1C-AS4","CACNA1C antisense RNA 4","ncRNA"
"100874370","CACNA1C-IT3","CACNA1C intronic transcript 3","ncRNA"
"100874235","CACNA1C-AS2","CACNA1C antisense RNA 2","ncRNA"
"100652846","CACNA1C-AS1","CACNA1C antisense RNA 1","ncRNA"
"107984539","LINC02371","long intergenic non-protein coding RNA 2371","ncRNA"
"283440","ITFG2-AS1","ITFG2 antisense RNA 1","ncRNA"
"2288","FKBP4","FKBP prolyl isomerase 4","protein-coding"
"55846","ITFG2","integrin alpha FG-GAP repeat containing 2","protein-coding"
"83714","NRIP2","nuclear receptor interacting protein 2","protein-coding"
"101929469","TEX52","testis expressed 52","protein-coding"
"2305","FOXM1","forkhead box M1","protein-coding"
"83695","RHNO1","RAD9-HUS1-RAD1 interacting nuclear orphan 1","protein-coding"
"7289","TULP3","TUB like protein 3","protein-coding"
"7004","TEAD4","TEA domain transcription factor 4","protein-coding"
"10867","TSPAN9","tetraspanin 9","protein-coding"
"105369606","LINC02827","long intergenic non-protein coding RNA 2827","ncRNA"
"100128253","LOC100128253","uncharacterized LOC100128253","ncRNA"
"101930162","LINC02417","long intergenic non-protein coding RNA 2417","ncRNA"
"56341","PRMT8","protein arginine methyltransferase 8","protein-coding"
"105369607","LOC105369607","uncharacterized LOC105369607","ncRNA"
"100129223","THCAT155","thyroid cancer-associated transcript 155","ncRNA"
"84766","CRACR2A","calcium release activated channel regulator 2A","protein-coding"
"107984495","LOC107984495","uncharacterized LOC107984495","ncRNA"
"57097","PARP11","poly(ADP-ribose) polymerase family member 11","protein-coding"
"105369609","PARP11-AS1","PARP11 antisense RNA 1","ncRNA"
"105369608","LOC105369608","uncharacterized LOC105369608","ncRNA"
"105369611","LOC105369611","uncharacterized LOC105369611","ncRNA"
"105369612","LOC105369612","uncharacterized LOC105369612","ncRNA"
"103752584","CCND2-AS1","CCND2 antisense RNA 1","ncRNA"
"894","CCND2","cyclin D2","protein-coding"
"57103","TIGAR","TP53 induced glycolysis regulatory phosphatase","protein-coding"
"8074","FGF23","fibroblast growth factor 23","protein-coding"
"2251","FGF6","fibroblast growth factor 6","protein-coding"
"57102","C12orf4","chromosome 12 open reading frame 4","protein-coding"
"10635","RAD51AP1","RAD51 associated protein 1","protein-coding"
"8798","DYRK4","dual specificity tyrosine phosphorylation regulated kinase 4","protein-coding"
"10566","AKAP3","A-kinase anchoring protein 3","protein-coding"
"4704","NDUFA9","NADH:ubiquinone oxidoreductase subunit A9","protein-coding"
"101929549","GAU1","GALNT8 antisense upstream 1","ncRNA"
"26290","GALNT8","polypeptide N-acetylgalactosaminyltransferase 8","protein-coding"
"105369614","LOC105369614","",""
